9.92,6.56,8.75,,,
9.21,5.42,8.34,,,
9.47,4.69,9.33,,,
10.85,7.17,9.94,,,
10.77,5.25,10.7,,,
,,,---,---,---
10.7,6.26,13.09,,,
9.15,6.53,9.96,,,
7.39,5.84,11.41,,,
9.79,6.44,12.03,,,
9.92,7.02,11.24,,,
---,---,---,,,
