MOUSE CODE,GENERAL CODE,STEP NUMBER,ETS,EIT,EPL,NTS,NIT,NPL
C4W1,CW1,1,9.97,6.59,12.59,9.37,2.76,9.59
C4W1,CW1,2,9.72,4.58,12.83,9.15,5.44,12.91
C4W1,CW1,3,9.65,4.24,11.48,9.61,4.86,11.75
C4W1,CW1,4,9.85,5.02,10.31,9.46,5.79,11.54
C4W1,CW1,5,9.65,4.95,13.78,9.31,5.7,11.82
C5W1,CW1,1,9.85,5.4,11.43,9.98,5.76,9.49
C5W1,CW1,2,10.16,3.44,10.04,9.83,5.98,13.32
C5W1,CW1,3,9.48,3.05,12.84,8.94,3.41,13.02
C5W1,CW1,4,11.25,5.46,10.46,10.3,3.99,13.92
C5W1,CW1,5,10.15,5.52,15.99,9.15,5.77,13.92
C5W1,CW1,6,10.79,5.64,11.26,8.3,5.74,9.29
C5W1,CW1,7,9.79,4.6,11.03,8.55,5.76,11.11
P1W1,PW1,1,7.85,3.53,13.3,10,5.52,13.13
P1W1,PW1,2,6.56,3.49,13.41,9.06,5.36,11.53
P1W1,PW1,3,8.01,2.96,13.14,6.97,5.34,12.62
P2W1,PW1,1,11.45,5.77,18.44,12.37,6.72,18.31
P2W1,PW1,2,12.69,5.18,19.24,12.67,6.3,12.88
P3W1,PW1,1,10,4.66,16.36,9.92,5.85,14.56
P3W1,PW1,2,9.23,4.43,15.28,9.27,4.5,12.19
P3W1,PW1,3,9.04,3.05,14.45,8.81,4.15,13.26
P3W1,PW1,4,9.38,4.4,15.75,8.33,4.64,13.35
P3W1,PW1,5,9.7,5.86,14.12,8.48,4,11.05
P4W1,PW1,1,6.6,3.57,15.03,5.92,3.11,13.58
P4W1,PW1,2,5.3,2.45,15.38,7.97,3.9,12.83
P4W1,PW1,3,4.4,3.12,14.52,8.17,3.3,11.47
P4W1,PW1,4,5.76,2.86,14.59,7.46,3.73,12.8
P4W1,PW1,5,4.56,2.45,14.94,8.19,4.09,16.23
P5W1,PW1,1,9.28,4.92,15.01,8.31,4.1,11.76
P5W1,PW1,2,9.14,5.42,12.36,10.15,5.47,14.82
P5W1,PW1,3,9.41,5.93,12.74,9.36,3.51,14.25
P5W1,PW1,4,9.91,4.68,12.86,10.16,5.08,11.86
P5W1,PW1,5,9.15,4.41,12.63,10.59,4.5,10.89
N1W1,NW1,1,11.85,5.19,15.78,7.52,4.16,6.61
N1W1,NW1,2,11.1,4.57,15.18,8.44,3.98,9.83
N1W1,NW1,3,9.82,4.91,14.75,7.97,3.76,13.48
N1W1,NW1,4,7.54,4.92,12.69,9.57,4.32,11.68
N1W1,NW1,5,9.6,4.47,14.24,8.98,4.95,10.63
N1W1,NW1,6,11.47,4.4,15.1,8.86,4.5,11.61
N1W1,NW1,7,9.76,6.01,12.8,8.81,4.52,9.38
N2W2,NW1,1,4.23,2.78,14.06,10.27,7.45,11.06
N2W2,NW1,2,4.23,2.68,14.14,9.48,6.86,13.37
