MOUSE CODE,GENERAL CODE,TRIAL,R,T,D,H
S4W1,SW1,2,40.18,300,18.95,11.42
S4W1,SW1,3,40.18,300,18.95,19.77
S5W1,SW1,1,28.31,14,0.31,26.21
S5W1,SW1,2,31.66,16,0.41,15.43
S5W1,SW1,3,35.93,18,0.53,22.86
C1W2,CW2,1,40.18,22,0.8,10.13
C1W2,CW2,2,40.18,26,1.07,11.81
C1W2,CW2,3,40.18,23,0.89,12.32
C2W2,CW2,1,31.93,16,0.42,13.32
C2W2,CW2,2,40.18,23,0.86,18.06
C2W2,CW2,3,40.18,25,1.01,12.81
C3W2,CW2,1,40.18,23,0.84,12.5
C3W2,CW2,2,40.18,25,0.98,12.88
C3W2,CW2,3,40.18,25,0.98,12.64
C4W2,CW2,1,40.18,22,0.83,12.54
C4W2,CW2,2,40.18,25,0.98,9.43
C4W2,CW2,3,40.18,21,0.74,11.48
C5W2,CW2,1,40.18,23,0.83,15.12
C5W2,CW2,2,40.18,25,0.98,9.97
C5W2,CW2,3,40.18,25,0.98,10.43
P1W2,PW2,1,20.42,10,0.17,14.69
P1W2,PW2,2,21.35,10,0.19,11.76
P1W2,PW2,3,23.35,11,0.23,10.18
P2W2,PW2,1,37.42,19,0.58,12.31
P2W2,PW2,2,37.36,19,0.58,12.4
P2W2,PW2,3,40.18,21,0.76,12.88
P3W2,PW2,1,40.18,22,0.79,6.73
P3W2,PW2,2,40.18,21,0.75,7.01
P3W2,PW2,3,40.18,23,0.86,11.51
P4W2,PW2,1,40.18,21,0.71,12.48
P4W2,PW2,2,40.18,21,0.71,6.4
P4W2,PW2,3,38.13,19,0.6,7.83
P5W2,PW2,1,40.18,29,1.12,11.62
P5W2,PW2,2,40.18,45,2.3,9.49
P5W2,PW2,3,40.18,27,1.11,8.12
N1W2,NW2,1,40.18,29,1.28,17.04
N1W2,NW2,2,40.18,41,2.01,15.23
N1W2,NW2,3,40.18,75,4.23,15
N2W2,NW2,1,31.93,16,0.42,15.21
N2W2,NW2,2,33.36,17,0.46,15.17
N2W2,NW2,3,34.6,17,0.5,11.51
N3W2,NW2,1,22.96,11,0.22,19.02
N3W2,NW2,2,22.51,11,0.21,18.42
N3W2,NW2,3,29.65,15,0.36,20.09
N4W2,NW2,1,34.6,17,0.56,15.91
N4W2,NW2,2,38.13,19,0.61,18.4
N4W2,NW2,3,34.6,17,0.49,18.65
N5W2,NW2,1,40.18,22,0.76,21.72
N5W2,NW2,2,40.18,28,1.19,24.82
N5W2,NW2,3,40.18,25,0.82,28.67
S1W2,SW2,1,40.18,89,5.17,4.69
S1W2,SW2,2,40.18,142,8.62,10.42
S1W2,SW2,3,40.18,118,7.05,9.02
S2W2,SW2,1,40.18,22,0.82,17.1
S2W2,SW2,2,22.11,11,0.2,10.75
S2W2,SW2,3,24.1,12,0.24,11.93
S3W2,SW2,1,40.18,38,1.86,13.14
S3W2,SW2,2,40.18,31,1.39,21.96
S3W2,SW2,3,40.18,23,0.85,21.77
S4W2,SW2,1,40.18,300,18.95,16.94
S4W2,SW2,2,40.18,300,18.95,14.93
S4W2,SW2,3,40.18,300,18.95,6.99
S5W2,SW2,1,40.18,28,1.2,7.77
S5W2,SW2,2,28.96,14,0.35,9.57
S5W2,SW2,3,40.18,21,0.74,9.23
C1W3,CW3,1,39.33,20,0.64,12.38
C1W3,CW3,2,40.18,26,1.05,12.23
C1W3,CW3,3,40.18,25,0.99,9.52
C2W3,CW3,1,40.18,23,0.83,9.82
C2W3,CW3,2,40.18,22,0.8,12.29
C2W3,CW3,3,40.18,23,0.89,9.24
C3W3,CW3,1,35.58,18,0.52,11.1
C3W3,CW3,2,40.18,23,0.87,9.02
C3W3,CW3,3,40.18,23,0.84,18.07
C4W3,CW3,1,40.18,20,0.66,11.73
C4W3,CW3,2,40.18,30,1.31,10.72
C4W3,CW3,3,40.18,26,1.08,10.89
C5W3,CW3,1,40.18,30,1.31,12.2
C5W3,CW3,2,40.18,26,1.05,9.45
C5W3,CW3,3,40.18,29,1.28,12.7
P1W3,PW3,1,21.72,11,0.2,9.83
P1W3,PW3,2,20.32,11,0.17,10.77
P1W3,PW3,3,36.99,18,0.57,8.25
P2W3,PW3,1,39.33,20,0.63,11.2
P2W3,PW3,2,40.18,22,0.77,10.76
P2W3,PW3,3,40.18,26,1.07,11.81
P3W3,PW3,1,40.18,35,1.65,15.11
P3W3,PW3,2,40.18,20,0.67,6.14
P3W3,PW3,3,40.18,37,1.76,9.62
P4W3,PW3,1,40.18,26,1.04,10.95
P4W3,PW3,2,40.18,21,0.72,7.04
P4W3,PW3,3,40.18,33,1.49,8.99
P5W3,PW3,1,40.18,22,0.82,12.13
