Name,RA_2000_Deg,RA_2000_HMS,Dec_2000_Deg,Vmag,Spct
17Phi,11.0475,0.7364999999999999,-10.609444444444444,4.76,K
Lam,11.050416666666667,0.7366944444444444,-38.42166666666667,5.9,K
,11.321666666666667,0.7547777777777778,55.22166666666667,5.42,A
,11.185,0.7456666666666666,-22.00611111111111,5.24,F
,11.237916666666667,0.7491944444444444,-42.67666666666666,5.94,F
,11.134583333333333,0.7423055555555556,-62.49777777777778,6.07,F
,11.6625,0.7775000000000001,69.325,6.33,F
,11.350416666666666,0.7566944444444444,-4.629166666666667,6.15,M
,11.25,0.75,-53.715,6.15,F
18,11.369583333333333,0.7579722222222223,-12.880833333333333,6.15,G
,11.562916666666666,0.7708611111111111,55.305277777777775,6.52,A
,11.545416666666666,0.7696944444444445,44.86138888888889,6.05,B
,11.42375,0.7615833333333333,-16.424166666666668,6.47,F
,11.676666666666666,0.7784444444444445,59.574444444444445,6.39,G
23,11.942083333333333,0.7961388888888888,74.8475,5.41,B
,11.44,0.7626666666666667,-47.55166666666666,5.8,G
,11.549166666666666,0.7699444444444445,-22.521944444444443,5.5,G
57,11.6375,0.7758333333333334,15.475555555555555,5.38,M
,12.037916666666666,0.8025277777777778,72.67500000000001,5.87,K
58,11.75625,0.78375,11.973888888888888,5.5,G
59,11.806666666666667,0.7871111111111111,19.578888888888887,6.13,F
34Zet,11.834583333333333,0.7889722222222222,24.26722222222222,4.06,K
60,11.848333333333333,0.7898888888888889,6.740833333333334,5.99,G
61,11.978333333333333,0.7985555555555556,20.92527777777778,6.54,F
,11.930416666666666,0.7953611111111111,-18.06138888888889,5.7,K
24Eta,12.275,0.8183333333333334,57.81583333333333,3.44,F
,12.004583333333333,0.8003055555555556,-21.722499999999997,5.57,B
62,12.0725,0.8048333333333334,7.3,5.93,G
,12.095833333333333,0.8063888888888889,5.280555555555556,5.75,K
25Nu,12.20875,0.8139166666666667,50.968333333333334,4.89,B
63Del,12.170833333333333,0.8113888888888889,7.585,4.43,K
64,12.244583333333333,0.8163055555555556,16.940555555555555,5.07,F
35Nu,12.453333333333333,0.8302222222222222,41.07888888888889,4.53,B
,12.356666666666667,0.8237777777777777,-13.561388888888889,5.59,K
,12.307916666666667,0.8205277777777777,-24.136388888888888,5.9,K
,12.23625,0.8157500000000001,-46.69777777777777,6.27,G
65,12.47,0.8313333333333334,27.710833333333333,7.0,F
65,12.471666666666668,0.8314444444444444,27.710277777777776,7.1,F
,12.389166666666666,0.8259444444444445,-23.361666666666668,6.28,A
,12.681666666666667,0.8454444444444444,64.2475,5.39,G
,12.57625,0.8384166666666667,45.00222222222222,6.15,A
19Phi,12.531666666666666,0.8354444444444444,-10.644444444444444,5.19,F
Lam,12.1475,0.8098333333333334,-74.92333333333333,5.07,K
,12.818333333333333,0.8545555555555555,61.80583333333333,6.07,K
,12.739166666666666,0.8492777777777778,51.50805555555556,6.39,F
,12.515416666666667,0.8343611111111111,-43.39472222222222,6.48,A
,13.72125,0.9147500000000001,83.70722222222223,5.62,A
,12.890416666666667,0.8593611111111111,51.571111111111115,6.21,B
Rho,12.671666666666667,0.8447777777777778,-50.98694444444445,5.22,F
,12.82625,0.8550833333333333,3.385,6.37,K
,13.267083333333334,0.8844722222222222,61.12416666666667,4.82,F
,12.967083333333333,0.8644722222222222,-43.70916666666667,6.9,F
,13.2225,0.8815000000000001,38.54861111111111,6.69,A
,13.169166666666667,0.8779444444444445,-24.00583333333333,5.46,K
20,13.252083333333333,0.8834722222222222,-1.1441666666666666,4.77,M
,13.3675,0.8911666666666667,37.418055555555554,6.06,K
,13.448333333333334,0.8965555555555556,52.689166666666665,6.27,A
,13.301666666666666,0.8867777777777778,-24.776944444444442,6.46,F
Lam,13.10125,0.8734166666666667,-69.50444444444445,6.22,F
26Ups,13.750416666666666,0.9166944444444444,58.97277777777778,4.83,K
66,13.646666666666667,0.9097777777777778,19.188333333333333,5.74,A
21,13.573333333333334,0.904888888888889,-8.740833333333333,6.16,G
,13.771666666666667,0.9181111111111111,48.67861111111111,6.27,M
,13.407916666666667,0.8938611111111111,-62.87138888888889,5.7,M
36,13.741666666666667,0.9161111111111111,23.628333333333334,5.47,K
,13.81125,0.92075,24.556944444444444,6.2,M
,14.05375,0.9369166666666667,57.99666666666667,6.21,K
,14.231666666666667,0.9487777777777778,68.7761111111111,6.37,F
67,13.99375,0.9329166666666666,27.209444444444443,6.09,A
,13.926666666666666,0.9284444444444444,-7.347222222222222,5.85,K
27Gam,14.177083333333334,0.9451388888888889,60.71666666666667,2.47,B
28Ups,14.165833333333333,0.9443888888888889,59.18111111111111,4.63,G
,14.19625,0.9464166666666667,60.36277777777778,5.55,B
22Phi,14.00625,0.93375,-11.266666666666667,5.31,K
,13.98125,0.9320833333333333,-27.775555555555556,6.1,M
37Mu,14.188333333333333,0.9458888888888889,38.49944444444444,3.87,A
Lam,13.75125,0.91675,-69.52694444444444,5.45,K
38Eta,14.301666666666666,0.9534444444444444,23.4175,4.42,G
,14.415416666666667,0.9610277777777777,45.83972222222222,6.12,K
,14.629583333333333,0.9753055555555555,66.35222222222221,5.97,A
68,14.459166666666667,0.9639444444444444,28.992222222222225,5.42,G
,14.559166666666666,0.9706111111111111,33.950833333333335,5.98,K
,14.477083333333333,0.9651388888888889,13.695833333333333,6.32,G
,14.57875,0.9719166666666667,21.404444444444444,6.37,A
,15.129166666666666,1.0086111111111111,70.98305555555555,6.39,A
23Phi,14.682916666666667,0.9788611111111111,-11.38,5.61,G
Alp,14.651666666666667,0.9767777777777777,-29.3575,4.31,B
,14.593333333333334,0.9728888888888889,-60.69638888888888,6.23,A
,15.014166666666666,1.0009444444444444,44.711111111111116,6.84,A
,15.015,1.001,44.71333333333334,6.04,B
,14.957083333333333,0.9971388888888888,6.483055555555556,6.11,M
,17.18625,1.14575,86.25694444444444,4.25,K
,23.46,1.564,89.01555555555555,6.46,A
,15.576666666666666,1.0384444444444445,51.035,6.47,A
Xi,15.32625,1.02175,-38.916666666666664,5.59,K
,15.75625,1.0504166666666668,47.376111111111115,6.45,A
39,15.72625,1.0484166666666668,41.345,5.98,A
69Sig,15.704583333333334,1.0469722222222224,31.804444444444446,5.5,B
,15.904166666666667,1.0602777777777779,61.075,5.92,F
Sig,15.61,1.0406666666666669,-31.551944444444445,5.5,A
71Eps,15.735833333333334,1.0490555555555556,7.89,4.28,K
Ome,15.5075,1.0338333333333334,-57.0025,6.11,G
25,15.760833333333334,1.0507222222222223,-4.836666666666666,5.43,K
,16.081666666666667,1.072111111111111,61.58027777777778,5.84,F
,16.01,1.0673333333333332,52.50222222222222,5.99,K
,15.705,1.0470000000000002,-46.3975,5.36,G
,15.823333333333334,1.054888888888889,-29.52583333333333,6.29,G
26,15.954166666666667,1.063611111111111,1.3666666666666667,6.04,F
,16.195,1.0796666666666666,51.01,6.54,B
,16.115,1.0743333333333334,29.65861111111111,6.19,F
,15.67875,1.04525,-65.45611111111111,6.21,M
,16.151666666666667,1.0767777777777778,39.99111111111111,6.72,F
,19.05625,1.2704166666666665,87.14527777777778,6.25,K
73,16.219166666666666,1.0812777777777778,5.656388888888889,6.0,K
72,16.2725,1.0848333333333333,14.946111111111112,5.68,F
,16.595,1.1063333333333334,62.76166666666666,6.54,A
74Psi,16.420416666666668,1.0946944444444444,21.473333333333333,5.34,A
74Psi,16.42375,1.0949166666666665,21.46527777777778,5.56,A
,17.30125,1.1534166666666665,80.01166666666667,6.29,G
77,16.455,1.097,4.908333333333334,6.35,F
77,16.464166666666667,1.097611111111111,4.9094444444444445,7.25,F
27,16.403333333333332,1.0935555555555554,-9.979166666666666,6.12,K
,16.750833333333333,1.1167222222222222,56.934999999999995,6.43,K
28,16.52125,1.1014166666666667,-9.839444444444444,5.58,A
,16.789583333333333,1.1193055555555556,53.498333333333335,6.38,K
75,16.64,1.1093333333333335,12.95611111111111,6.12,G
,16.532083333333333,1.102138888888889,-23.9925,6.14,G
30Mu,17.06833333333333,1.137888888888889,54.92027777777778,5.17,G
Bet,16.520833333333332,1.101388888888889,-46.718611111111116,3.31,G
,16.610416666666666,1.1073611111111112,-35.66083333333333,6.61,A
41,17.00375,1.1335833333333334,43.94194444444444,5.03,A
,16.804583333333333,1.1203055555555557,-23.99638888888889,6.37,A
,17.13875,1.1425833333333333,58.26361111111111,5.79,B
78,17.005416666666665,1.1336944444444443,32.01222222222222,6.25,F
79Psi,16.988333333333333,1.1325555555555555,20.739166666666666,5.55,A
30,16.9425,1.1295,-9.785555555555556,5.82,F
80,17.0925,1.1395,5.649722222222222,5.52,F
Ups,16.949583333333333,1.1299722222222222,-41.48694444444445,5.21,A
Iot,16.827916666666667,1.1218611111111112,-61.775277777777774,5.37,G
,18.069583333333334,1.2046388888888888,79.6738888888889,5.64,A
31Eta,17.1475,1.1431666666666667,-10.182222222222222,3.45,K
42Phi,17.375833333333333,1.1583888888888887,47.24194444444444,4.25,B
31,17.66375,1.1775833333333334,68.7786111111111,5.29,A
43Bet,17.432916666666667,1.1621944444444443,35.620555555555555,2.06,M
Zet,17.09625,1.13975,-55.24583333333334,3.92,B
81Psi,17.455,1.1636666666666666,19.65861111111111,5.55,G
44,17.578333333333333,1.171888888888889,42.081388888888895,5.65,F
,17.580833333333334,1.1720555555555556,25.45777777777778,5.8,K
,17.856666666666666,1.1904444444444444,64.20277777777778,5.55,B
33The,17.775833333333335,1.1850555555555555,55.14972222222222,4.33,A
,17.547916666666666,1.1698611111111112,15.674166666666666,6.06,M
32,17.9225,1.1948333333333334,65.01888888888888,5.57,B
32,17.55,1.1700000000000002,-8.90611111111111,6.4,K
33,17.64,1.1760000000000002,2.445555555555556,5.95,K
45,17.792916666666667,1.1861944444444446,37.72416666666667,5.81,B
82,17.778333333333332,1.1852222222222222,31.424722222222222,5.16,F
,17.530833333333334,1.1687222222222222,-57.69444444444444,6.41,G
84Chi,17.863333333333333,1.1908888888888889,21.034722222222225,4.66,G
83Tau,17.915,1.1943333333333332,30.08972222222222,4.51,K
34,17.93125,1.1954166666666666,-2.2511111111111113,5.94,K
,18.29125,1.2194166666666668,61.70583333333334,6.41,B
,18.141666666666666,1.2094444444444443,45.33777777777778,6.11,M
,18.247916666666665,1.2165277777777777,30.06416666666667,6.19,G
,19.127916666666668,1.2751944444444443,79.91000000000001,6.26,F
,18.0975,1.2065,-30.802222222222223,6.52,F
,18.189166666666665,1.212611111111111,-37.85638888888889,5.92,F
85Phi,18.437083333333334,1.229138888888889,24.58361111111111,4.65,K
86Zet,18.432916666666667,1.2288611111111112,7.575277777777777,5.24,A
86Zet,18.43875,1.2292500000000002,7.578333333333333,6.3,F
,18.520833333333332,1.2347222222222223,28.529722222222222,6.43,S
87,18.531666666666666,1.2354444444444446,16.13361111111111,5.98,B
,19.050416666666667,1.2700277777777778,71.74388888888889,7.83,K
37,18.6,1.24,-7.923055555555556,5.13,F
88,18.676666666666666,1.2451111111111113,6.995277777777778,6.03,G
38,18.705,1.247,-0.9738888888888889,5.7,F
,19.102083333333333,1.2734722222222221,48.08222222222223,6.61,B
Nu,18.79625,1.2530833333333333,-45.53138888888889,4.96,F
,19.078333333333333,1.2718888888888888,33.11472222222223,6.02,K
,19.27125,1.2847499999999998,44.901944444444446,6.34,K
39,19.15125,1.2767499999999998,-2.500277777777778,5.41,G
,19.350416666666668,1.2900277777777776,31.744722222222222,6.73,K
,20.08125,1.3387499999999999,77.57055555555556,6.31,G
,19.5425,1.3028333333333333,47.41972222222222,6.25,K
Kap,18.942083333333333,1.2628055555555555,-68.8761111111111,4.86,F
89,19.45,1.2966666666666666,3.6144444444444446,5.16,A
,19.695833333333333,1.3130555555555556,37.38611111111111,6.46,A
,19.265,1.284333333333333,-66.39805555555556,6.24,A
,20.49625,1.3664166666666668,76.2388888888889,6.38,F
34Phi,20.020416666666666,1.3346944444444444,58.23166666666667,4.98,F
90Ups,19.866666666666667,1.3244444444444445,27.264166666666668,4.76,A
35,20.27166666666667,1.3514444444444444,64.65833333333335,6.34,A
42,19.95125,1.3300833333333333,-0.5088888888888888,5.87,G
,20.945,1.3963333333333332,78.72583333333334,6.07,A
,20.14375,1.3429166666666665,-3.2469444444444444,6.23,K
,20.115833333333335,1.3410555555555554,-11.238888888888889,6.15,K
91,20.280833333333334,1.3520555555555556,28.738055555555558,5.23,K
46Xi,20.585,1.3723333333333334,45.528888888888886,4.88,K
,20.84,1.3893333333333333,58.143055555555556,6.45,F
,20.654166666666665,1.3769444444444445,1.726388888888889,6.2,K
43,20.645,1.3763333333333334,-0.44972222222222225,6.49,K
,20.627083333333335,1.375138888888889,-19.08138888888889,6.35,F
47,20.919166666666666,1.394611111111111,37.715,5.58,A
,20.90625,1.39375,34.24583333333334,6.29,G
,20.85375,1.39025,20.468888888888888,5.97,K
,21.44375,1.4295833333333334,70.98,6.49,A
36Psi,21.483333333333334,1.4322222222222223,68.13,4.74,K
,20.879166666666666,1.3919444444444444,-30.945555555555554,5.84,K
44,21.010416666666668,1.4006944444444445,-8.0075,6.21,F
45The,21.00583333333333,1.400388888888889,-8.183333333333334,3.6,K
37Del,21.454166666666666,1.4302777777777778,60.23527777777778,2.68,A
,21.085833333333333,1.405722222222222,-6.914722222222222,5.91,F
,21.16583333333333,1.4110555555555555,-15.660277777777779,6.14,G
,21.202916666666667,1.4135277777777777,-2.8486111111111114,6.15,G
,21.39875,1.4265833333333333,23.511666666666667,6.18,F
,21.17,1.4113333333333333,-41.4925,5.42,K
,21.5775,1.4385000000000001,43.45777777777778,5.96,F
,21.53625,1.43575,34.57972222222222,6.31,F
,21.174583333333334,1.4116388888888889,-44.52833333333333,6.26,K
46,21.405,1.427,-14.59888888888889,4.9,K
93Rho,21.56375,1.4375833333333334,19.172222222222224,5.38,F
94,21.67375,1.4449166666666666,19.240277777777777,5.5,K
,21.775833333333335,1.4517222222222221,34.3775,6.27,F
,21.61375,1.4409166666666666,-0.39861111111111114,6.41,K
48Ome,21.914166666666667,1.4609444444444444,45.406666666666666,4.83,F
,21.860833333333332,1.4573888888888888,41.10055555555556,6.46,A
,21.722916666666666,1.4481944444444446,3.5352777777777775,6.58,B
,21.272083333333335,1.418138888888889,-64.36944444444444,5.93,K
47,21.715,1.4476666666666667,-13.056666666666667,5.66,F
,21.945833333333333,1.4630555555555556,40.33555555555556,6.6,A
,21.742083333333333,1.4494722222222223,-32.543055555555554,5.79,C
1Alp,37.95291666666667,2.530194444444444,89.26416666666667,2.02,F
,21.944166666666668,1.4629444444444444,-10.901666666666667,6.13,K
,22.095416666666665,1.4730277777777778,7.961388888888889,6.2,K
38,22.8075,1.5205,70.26472222222222,5.81,F
,22.717916666666667,1.5145277777777777,66.09805555555555,6.14,A
Gam,22.09125,1.4727500000000002,-43.318333333333335,3.41,M
49,22.525833333333335,1.5017222222222222,47.007222222222225,5.27,K
,22.180416666666666,1.4786944444444445,-33.76361111111111,6.58,F
97,22.470416666666665,1.4980277777777777,18.355555555555558,6.02,A
48,22.40041666666667,1.4933611111111111,-21.629444444444445,5.12,A
98Mu,22.54625,1.5030833333333333,6.143888888888889,4.84,K
,22.376666666666665,1.4917777777777779,-46.756388888888885,6.31,M
,22.595416666666665,1.506361111111111,-26.20777777777778,5.93,K
99Eta,22.870833333333334,1.524722222222222,15.345833333333333,3.62,G
,23.031666666666666,1.5354444444444444,34.8,6.39,B
,23.3575,1.5571666666666668,58.3275,5.7,K
Del,22.812916666666666,1.520861111111111,-49.07277777777778,3.95,K
,22.930416666666666,1.5286944444444444,-30.283333333333335,5.82,K
39Chi,23.482916666666668,1.5655277777777779,59.231944444444444,4.71,G
