Name,RA_2000,Dec_2000,Vmag,Spct
,061959.6,-025640,4.90,M
,062052.3,+114523,6.54,B
,062125.9,+174549,6.35,G
,061751.7,-524359,6.41,K
,061941.0,-342348,5.78,B
,062125.8,+021607,6.31,A
,061846.8,-502133,7.04,G
1Zet,062018.8,-300348,3.02,B
,061505.9,-714210,6.64,F
,062124.7,-114624,5.64,B
,062814.6,+703208,5.97,A
13Mu,062257.6,+223049,2.88,M
,062236.5,+123412,6.00,F
,062036.3,-340838,5.53,B
46Psi,062453.9,+491717,4.91,K
,062006.1,-484428,6.60,G
,062625.8,+561706,5.64,A
,062318.5,+034552,6.40,B
5,062648.9,+582502,5.21,K
2Bet,062242.0,-175721,1.98,B
,062322.7,-044114,6.67,A
Del,062206.8,-332611,3.85,G
,062452.6,+294226,6.71,B
8Eps,062346.1,+043534,4.44,A
,062346.5,+043544,6.72,F
,062402.3,+085305,6.26,B
,062336.0,-095228,6.19,K
,062452.9,+160325,6.33,G
,062346.0,-150418,6.24,K
,062532.9,+231937,6.06,A
,062410.3,-113149,5.22,K
,062347.6,-194707,6.60,B
,062314.4,-314724,6.34,G
,062528.1,+144319,6.24,C
,062420.5,-125745,6.12,B
,062513.1,+070509,5.98,F
,062355.9,-253440,5.63,K
,062518.4,+013004,6.66,B
,062516.4,-005646,5.87,F
,062751.1,+472419,6.56,A
,062546.6,+021620,6.51,A
,062401.0,-364228,5.62,G
,062547.1,-035321,6.35,G
,062443.9,-284648,6.39,G
,062735.5,+323347,6.43,K
Nu,062255.8,-562212,5.61,A
,062558.8,-075339,6.40,A
,062337.7,-521052,5.98,G
,062444.5,-401703,6.31,B
,062639.6,-013026,5.87,A
,062634.5,-043550,6.15,B
Alp,062357.1,-524145,-0.72,F
,062658.7,+005027,6.71,A
,062644.9,-073041,6.27,A
,062529.9,-350350,6.25,K
16,062756.6,+202946,6.22,A
6,063047.2,+580946,5.88,K
48,062834.1,+302935,5.55,F
,062720.4,+025429,5.55,G
,062713.8,+001757,5.20,K
,062715.6,-001634,5.55,K
,062346.9,-583238,6.48,A
,062301.3,-634059,6.27,M
47,063003.0,+464108,5.90,K
,062856.6,+265804,6.47,F
,062828.0,+161418,6.23,G
,062448.2,-524823,6.51,K
,062818.8,+101814,6.15,K
18Nu,062857.8,+201244,4.15,B
10,062757.6,-044544,5.06,B
,062413.7,-601652,5.80,A
,064016.8,+793558,6.54,A
,062816.8,+015444,6.48,B
,062543.6,-481038,5.76,B
,062711.2,-255124,6.07,F
,064430.2,+820655,6.65,A
,062900.0,+110110,6.59,A
Pi,062238.2,-695903,5.56,K
,062707.5,-375344,6.48,F
,062426.3,-632544,6.46,G
,062914.9,+023846,6.16,M
11Bet,062849.0,-070158,4.60,B
11Bet,062849.5,-070204,5.40,B
11Bet,062849.5,-070204,5.60,B
,062837.3,-172758,5.77,G
,062455.6,-634940,6.27,B
Lam,062810.1,-323448,4.48,B
,063005.5,+090145,6.57,A
,064028.8,+775945,5.73,K
,062839.2,-322216,5.74,B
,063754.9,+734144,6.24,F
,063110.1,+165619,6.20,K
,063011.3,-100453,5.93,K
,062842.3,-410428,6.32,F
,062704.0,-580008,5.82,K
,063109.5,+111503,6.14,B
19,063137.4,+155412,6.40,A
,063227.2,+322717,5.87,A
,063034.7,-130853,6.16,B
,063139.2,+114732,6.65,B
,063148.3,+113240,5.23,A
7,063432.8,+552111,6.45,K
Pi,062528.6,-694125,5.38,G
,063223.3,+114025,6.03,K
,063123.0,-122330,5.15,K
,063046.3,-274610,5.93,B
,063150.1,-080929,5.43,K
12,063219.2,+045121,5.84,K
,063342.7,+330127,6.42,A
,062949.1,-501421,5.27,F
13,063254.2,+071959,4.50,A
,063223.1,-055208,5.60,F
4Xi,063151.3,-232506,4.33,B
,063113.0,-351533,5.84,G
,062928.5,-565110,5.22,K
,063059.8,-405459,6.20,K
,063336.1,+140919,5.53,K
,063246.9,-110959,6.24,G
,063135.0,-365624,6.34,M
8,063741.4,+612852,5.94,G
,063337.9,-011313,5.10,B
,064032.2,+714456,5.92,K
,063239.0,-320150,5.69,B
49,063512.1,+280120,5.27,A
,063221.3,-374148,5.24,G
,063118.3,-514934,5.60,F
,064614.1,+793353,5.45,F
11,063738.5,+565127,5.85,A
,063326.6,-205526,6.40,G
14,063446.4,+073421,6.45,A
,063632.9,+382643,5.29,C
,063517.6,+095918,5.88,K
,063310.3,-383731,6.44,G
,063003.0,-653406,6.29,F
,063515.8,+005324,5.80,B
,063110.6,-615247,6.15,B
,063349.5,-361356,5.42,K
Mu,063158.4,-584515,5.70,B
,063600.0,+042951,6.55,B
5Xi,063503.4,-225753,4.54,A
,063435.3,-324259,5.62,B
,063326.1,-521944,6.19,G
,063727.2,+243527,6.44,A
,063635.3,-051240,5.52,B
51,063839.5,+392327,5.69,K
52Psi,063849.2,+395409,5.20,B
24Gam,063742.7,+162357,1.93,A
,063724.1,+060807,6.06,O
6Nu,063622.8,-183936,5.70,G
,063524.1,-364648,5.59,A
53,063823.0,+285903,5.79,B
,063736.9,+105111,6.38,K
50Psi,063919.9,+422920,4.79,K
,063646.7,-131915,5.97,K
7Nu,063641.0,-191521,3.95,K
,063740.3,+024215,6.17,K
,063554.0,-360520,6.35,G
,063752.7,+045726,6.15,B
,063640.9,-223654,6.35,B
,063958.0,+440050,6.41,K
,063458.6,-525832,4.39,A
,063905.3,+220151,6.04,G
,063740.9,-125906,6.12,K
54,063933.1,+281547,6.03,B
,063931.4,+243600,6.38,F
,063820.5,-023237,6.14,K
,063849.5,+044202,6.57,B
,063838.1,+013649,6.21,O
8Nu,063753.4,-181415,4.43,K
,063701.9,-380848,6.04,K
,063651.3,-413325,6.34,K
,063713.8,-365926,5.71,B
,063747.6,-322023,5.27,K
,063835.4,-165225,6.03,A
,063947.6,+125859,5.97,A
,063916.7,-140845,4.82,K
Nu,063745.7,-431146,3.17,B
,064137.7,+355555,6.46,F
25,064121.0,+281147,6.42,G
,064031.8,+062218,6.51,B
,063936.3,-234144,6.05,A
15,064058.7,+095344,4.66,O
,064121.8,+162351,6.28,A
,064117.2,+110012,6.11,M
55Psi,064305.0,+443128,5.02,K
,063942.7,-302813,5.71,K
,064105.4,+002943,5.79,B
,063837.6,-481313,4.93,G
,064411.6,+531747,6.27,K
,064313.8,+370849,6.19,K
,063956.9,-380932,6.58,K
26,064224.3,+173843,5.21,A
,064159.3,+062042,6.37,O
,063800.6,-613159,6.18,G
,064156.4,-091002,5.19,M
12,064614.1,+592630,4.87,A
,064412.6,+360635,6.31,A
NOVA,,,,
27Eps,064355.9,+250752,2.98,G
,064306.5,+030200,6.19,K
,064114.1,-402059,6.12,B
,064049.3,-474029,6.65,M
13,064649.5,+571009,5.35,K
30,064359.3,+131340,4.49,K
,064338.7,+035556,5.90,B
28,064445.5,+285815,5.44,K
,064245.8,-222657,6.13,F
,064216.4,-382355,6.29,A
56Psi,064644.3,+433439,5.25,G
31Xi,064517.4,+125344,3.36,F
,064812.9,+554216,6.33,F
,064812.3,+554216,6.28,F
57Psi,064739.6,+484722,5.22,K
,064323.3,-391136,6.30,A
32,064554.2,+124137,6.46,A
42,065057.1,+673419,5.14,B
9Alp,064508.9,-164258,-1.46,A
10,064428.4,-310414,5.20,B
,064451.9,-272029,6.45,G
16,064632.4,+083514,5.93,B
,064523.3,-232743,6.05,K
NGC,,,,
,064502.4,-303510,6.54,B
,064559.3,-144746,5.32,A
,064723.5,+181136,6.20,A
,064522.8,-314737,5.92,F
,064531.3,-305656,5.80,B
,064639.0,-100626,5.66,B
17,064719.8,+080214,4.77,K
11,064651.1,-142533,5.29,B
,064057.8,-714632,6.51,K
18,064751.6,+022444,4.47,K
,064603.3,-393224,6.62,B
,064737.1,-085954,5.07,M
12,064701.5,-210056,6.08,B
,064612.1,-374632,6.21,B
43,065342.2,+685318,5.12,B
,064941.3,+323624,5.71,K
,064526.1,-521204,6.57,G
,064819.0,-011909,5.75,F
,064553.7,-522436,5.80,K
58Psi,065045.9,+414653,5.02,K
,064903.7,+010007,6.15,B
,064721.4,-375547,5.26,B
33,064949.8,+161210,5.85,B
14,065305.1,+592655,5.33,G
,064916.4,-021619,5.74,B
,064857.8,-150841,5.39,B
,064652.8,-511557,5.40,K
,064641.5,-544141,6.46,G
35,065025.5,+132448,5.65,K
,064718.7,-553224,5.61,K
,070004.0,+765839,4.55,K
,064944.0,-240433,6.33,A
36,065133.0,+214540,5.27,A
,065049.9,-003227,5.77,F
,064336.8,-730705,6.37,G
,065307.6,+445022,6.26,A
,065200.0,+233606,5.65,K
,065042.3,-080228,6.29,A
,065021.9,-170502,5.79,K
,064456.1,-702602,6.11,K
,065006.0,-272002,7.04,B
13Kap,064950.5,-323031,3.96,B
59,065301.5,+385209,6.12,F
34The,065247.3,+335740,3.60,A
60,065313.4,+382617,6.30,F
,065303.4,+354719,6.01,K
,065139.3,+030230,6.38,A
,065036.9,-254641,6.33,B
,065023.3,-314222,5.70,B
,064957.8,-452700,6.55,K
61Psi,065357.0,+383018,6.48,B
,064954.6,-463653,5.14,F
,065052.4,-342202,4.99,K
Alp,064811.4,-615629,3.27,A
,065249.4,+082249,5.77,F
,065222.9,-051858,6.30,K
Tau,064956.2,-503653,2.93,K
,064951.3,-533720,4.40,G
,065322.5,+105947,6.24,K
,065515.2,+454935,6.34,K
,065514.7,+435436,6.13,A
,065142.3,-361349,5.96,A
Zet,064002.7,-804849,5.64,A
15,065716.5,+582521,4.35,G
,065713.2,+573348,6.05,K
,065001.1,-601457,6.11,F
,065132.8,-481733,6.42,K
38,065438.7,+131040,4.65,F
,065318.8,-190158,5.64,F
,065321.7,-185600,6.14,A
,065300.1,-265727,6.40,M
Psi,065632.3,+461627,5.87,B
37,065518.6,+252232,5.73,G
,065408.5,-055109,6.41,A
15,065332.9,-201327,4.83,B
,065424.6,-010737,5.45,A
,065656.0,+464218,5.86,K
14The,065411.4,-120219,4.07,K
,065239.7,-423016,6.52,F
,065333.9,-283223,6.04,G
,065442.1,-014523,6.21,B
,065355.3,-243221,6.21,A
,065247.1,-435833,6.46,B
16Omi,065407.9,-241102,3.87,K
,070121.5,+704829,5.68,K
,065458.8,-024813,6.04,G
,065413.0,-235542,6.91,W
,065534.6,+081929,6.29,A
16,065737.1,+450539,4.90,A
,065700.5,+334052,5.89,G
,065246.9,-540524,6.57,G
17,065502.7,-202417,5.74,A
,065625.8,+095723,5.92,B
19Pi,065537.4,-200811,4.68,F
,065426.7,-422156,6.32,C
,065245.4,-592028,6.41,A
18Mu,065606.6,-140237,5.00,G
,065402.3,-503642,6.26,K
,065546.8,-225629,5.30,B
20Iot,065608.2,-170315,4.37,B
,065725.7,+115427,6.27,F
,065554.8,-314724,6.36,B
,065700.1,-081044,6.34,K
62,065902.8,+380308,6.00,K
39,065847.4,+260452,6.10,F
Iot,065127.0,-705748,5.40,B
,065714.8,-221212,6.61,B
,065645.7,-352030,6.29,K
40,065927.9,+255451,6.40,B
,065839.0,+073719,6.27,A
,065733.9,-243750,5.46,F
,065616.0,-484316,4.95,M
,074030.5,+870112,5.07,M
,065857.0,+033608,5.97,G
,065742.4,-273215,6.23,B
,065717.6,-353027,6.23,F
,065920.1,+071901,6.35,B
,065807.6,-270953,6.37,B
41,070015.8,+160444,5.68,K
,065835.9,-252450,5.59,B
,070551.8,+704355,6.50,K
21Eps,065837.5,-285820,1.50,B
,065825.1,-340642,5.06,B
,070117.2,+322452,6.59,A
,065843.8,-305952,6.42,B
,070018.0,-052201,6.30,G
,065939.3,-213612,6.26,B
,070023.7,-082425,5.96,B
,070008.1,-200932,6.31,B
,065841.8,-454605,6.22,A
,070039.3,-091211,6.49,B
,070019.3,-220710,6.53,B
,070141.4,+044905,6.63,A
42Ome,070224.8,+241255,5.18,G
,070225.5,+174520,5.94,M
,070217.4,+152010,5.74,K
,070155.0,+053327,6.59,B
,065839.6,-554346,6.27,K
,070233.5,+164027,5.82,M
,070152.9,-012044,6.17,G
,070042.6,-282922,6.27,F
,065836.2,-562341,6.45,F
,070156.4,-054320,5.20,M
,070105.9,-251255,5.63,B
,070049.8,-332755,6.40,G
,070601.3,+594807,6.44,G
,070330.4,+292014,5.93,G
,070539.8,+524529,6.12,A
,070509.0,+474630,6.38,B
22Sig,070143.1,-275605,3.47,K
,070317.9,+090818,5.97,A
19,070254.8,-041421,4.99,B
,070338.0,+105706,5.13,K
43Zet,070406.5,+203413,3.79,F
,070351.6,+123540,5.98,K
,070051.5,-512409,5.14,M
24Omi,070301.5,-235000,3.02,B
,070420.2,+012918,6.57,A
,070405.2,-051925,5.62,K
,070357.3,-100727,6.45,B
23Gam,070345.5,-153800,4.12,B
,070215.6,-432415,6.43,A
44,070518.4,+223814,6.02,B
,070611.6,+342826,5.55,G
,070105.1,-585624,6.02,A
,065950.5,-675458,5.17,K
,070539.1,+091109,5.78,M
,070447.1,-220156,6.09,K
,070722.3,+340034,5.91,K
,070402.8,-422014,5.20,A
,070357.3,-433629,5.54,G
,070358.8,-433642,6.79,K
,070725.0,+281038,6.48,B
,070549.7,-103940,6.49,B
,070721.4,+224213,7.68,S
,070353.7,-493502,4.93,A
,070813.3,+334956,6.28,K
,070315.6,-591041,5.50,B
,070836.3,+372642,6.16,K
,070706.4,+045437,6.11,B
,070532.0,-344640,6.14,F
,070640.7,-111739,5.39,B
,070635.9,-122338,6.48,O
,070600.6,-303920,6.34,B
,071358.1,+714900,6.35,K
,070749.5,+072816,5.75,K
,070418.3,-564459,5.17,A
45,070822.0,+155551,5.44,G
,070602.3,-382258,6.11,G
,070652.3,-245738,6.08,K
,070516.5,-502137,6.46,K
,070700.1,-263928,6.62,B
The,065634.4,-792513,5.45,B
,070722.6,-235025,5.71,B
,070707.1,-405336,5.79,B
,071006.7,+211449,6.43,G
25Del,070823.5,-262336,1.84,F
,070920.3,-102050,6.21,O
,070849.3,-240239,6.65,B
63,071139.3,+391914,4.90,K
46Tau,071108.4,+301443,4.41,K
,070713.3,-515804,5.96,K
,070933.2,-161405,6.03,B
47,071123.1,+265124,5.78,A
20,071013.7,-041414,4.92,K
,070851.1,-393921,4.83,B
,071323.4,+512544,5.47,M
,070942.9,-251352,5.69,B
,071009.3,-184107,6.23,F
48,071226.4,+240742,5.85,F
21,071123.6,-001807,5.45,A
,071019.4,-272929,5.46,G
,072521.9,+811527,6.31,A
,071151.3,+053917,6.09,A
,071249.0,+271329,6.43,F
,070614.1,-685014,6.47,K
,071207.4,+052829,6.16,K
22Del,071151.9,-002934,4.15,A
18,071554.9,+593815,5.20,K
,071141.6,-205259,5.84,A
51,071322.3,+160932,5.00,M
26,071212.2,-255633,5.92,B
,071047.5,-485556,5.14,K
,071204.1,-304918,6.10,A
,071550.1,+471424,5.58,G
,071426.6,+244239,6.89,A
,071307.2,-111505,5.78,K
,071224.1,-272827,6.59,A
52,071441.9,+245306,5.82,M
,071225.7,-363240,5.96,B
,071215.8,-402956,5.31,A
,071432.6,+120657,5.62,G
,071420.0,+030641,5.35,K
,071323.9,-224024,6.01,K
,071411.0,-035405,5.75,K
,071415.5,-095651,5.90,K
,071348.3,-225423,6.36,B
,071336.3,-272123,6.12,B
Gam,070842.2,-702950,5.69,F
Gam,070844.9,-702956,3.78,K
,071733.7,+520751,5.92,K
53,071557.1,+275351,5.71,M
,071428.2,-101900,6.03,B
,071233.6,-464534,4.49,F
,071347.1,-310502,6.60,B
,073104.4,+822441,4.96,M
,071357.2,-302024,6.33,B
24,071519.3,-000941,6.41,G
27,071415.2,-262109,4.66,B
,071313.4,-451059,4.89,A
,071539.4,+075840,5.82,M
,071332.4,-443823,5.10,M
28Ome,071448.7,-264622,3.85,B
,071451.1,-270217,5.58,K
,071831.9,+492754,5.05,A
,071543.1,-103502,5.95,K
64,071802.2,+405300,5.78,A
,071202.0,-631124,6.02,A
,071547.5,-234426,6.32,A
,071521.0,-304111,5.36,B
,071804.1,+305721,6.24,A
,071614.5,-153509,5.46,A
,071457.1,-412533,5.94,B
,071717.8,+064050,6.65,B
,071445.9,-465059,5.72,A
,071438.2,-481618,4.76,B
54Lam,071805.6,+163225,3.58,A
,071636.8,-231856,4.79,K
,071731.7,-064048,6.29,K
,071635.0,-275252,4.64,M
,071521.0,-522959,5.97,K
,071657.2,-305348,6.32,A
,071631.8,-381908,5.80,B
,071649.5,-363534,5.03,B
,071615.5,-464628,5.66,K
47,072217.2,+595407,6.35,A
Pi,071708.6,-370551,2.70,K
,071747.9,-264751,6.46,B
,072103.1,+423920,6.35,K
,072117.5,+451341,5.77,A
55Del,072007.4,+215856,3.53,F
,071922.4,+024426,5.89,G
,071947.6,+070834,5.91,F
,072006.9,+150834,6.45,A
29,071840.3,-243332,4.98,O
30Tau,071842.4,-245715,4.40,O
19,072250.9,+551704,6.53,B
19,072252.1,+551653,5.45,B
,071902.0,-191649,6.09,F
,071851.2,-263509,5.28,G
,071818.4,-364403,4.66,B
,071928.1,-162342,5.70,F
,071804.2,-435912,5.85,B
,071838.2,-364434,5.11,B
,071833.6,-391237,5.25,A
,072213.4,+385946,6.40,K
65,072202.6,+364538,5.13,K
,071913.7,-334338,6.30,K
56,072156.8,+202637,5.10,M
,072058.2,-142136,5.45,G
,073439.7,+805348,6.41,G
,072116.9,-085242,6.55,F
,072053.2,-225106,6.61,B
,072055.0,-265749,6.01,B
,072203.5,+001038,5.99,B
,072104.3,-255329,5.87,M
Del,071649.8,-675726,3.98,F
,072457.2,+515314,5.80,K
66,072408.5,+404020,5.19,K
,072202.0,-085845,6.43,O
,072218.5,-025844,6.23,F
57,072328.5,+250302,5.03,G
,072725.8,+661954,6.47,B
58,072328.2,+225643,6.02,A
,072225.4,-055858,5.82,F
,072213.5,-190100,4.96,B
,072021.4,-521842,6.05,F
,072021.7,-521835,6.60,G
,072038.7,-520510,5.39,B
59,072433.4,+273817,5.76,F
,072427.7,+153102,6.41,B
21,072642.8,+491241,4.64,A
,072300.6,-315526,5.43,B
1,072458.2,+114011,5.30,A
60Iot,072543.6,+274753,3.79,G
,072329.1,-275003,5.38,K
,072331.9,-321208,5.39,B
,072354.3,-301301,6.60,B
,072440.1,-161204,5.33,B
,072417.2,-225446,6.19,B
31Eta,072405.7,-291811,2.45,B
2Eps,072538.9,+091634,4.99,G
,072358.3,-355016,6.31,B
,073052.7,+682756,5.64,K
,072450.7,-190044,6.24,A
,072508.3,-134507,5.78,F
,072551.0,-054630,5.97,G
,072443.8,-314832,5.35,G
,072650.2,+213209,6.54,F
,072627.9,+103630,6.37,A
61,072656.3,+201526,5.93,F
,072603.5,-043215,6.76,A
,072519.9,-215858,6.05,A
,072641.3,+110033,6.41,B
,072525.3,-251304,5.78,B
,072447.2,-371724,6.97,F
,072447.3,-371727,6.84,F
,072851.6,+481102,5.72,B
3Bet,072709.0,+081722,2.90,B
63,072744.4,+212642,5.22,F
,072543.0,-314419,6.31,B
,064658.7,-870130,6.47,F
22,072956.0,+494021,5.36,F
,072640.7,-234244,6.56,A
5Eta,072802.1,+065631,5.25,F
62Rho,072906.7,+314704,4.18,F
,072708.0,-175152,5.63,A
4Gam,072809.8,+085532,4.32,K
,072659.4,-230510,5.61,B
,072642.3,-340827,5.90,B
64,072920.4,+280705,5.05,A
,072847.3,+150634,6.22,B
,072751.7,-113325,5.79,G
,072742.9,-225135,5.95,B
65,072948.7,+275458,5.01,K
,072621.9,-510106,5.10,K
,072759.2,-290921,5.54,B
6,072947.8,+120024,4.54,K
,072918.7,-015419,5.59,K
,072925.7,-073304,5.86,F
,072922.1,-101936,5.75,K
,072921.9,-145957,6.05,F
,072822.8,-374837,6.58,A
,072851.3,-315054,6.38,B
,072851.5,-315049,7.13,B
,073155.7,+385347,6.54,A
,072904.9,-312723,5.77,B
,072951.4,-230128,4.85,A
,072905.7,-384844,5.43,B
,073051.1,-051335,6.24,K
,073148.4,+170510,5.42,K
Sig,072913.8,-431805,3.25,K
,073250.6,+225316,6.54,K
7Del,073205.9,+015452,5.25,F
,073042.5,-305744,4.65,G
,073042.4,-372023,6.65,G
,073205.8,-085251,5.90,F
,072959.6,-523904,5.87,K
,073125.8,-360910,6.68,B
68,073336.5,+154936,5.25,A
8Del,073311.6,+031725,5.59,F
,072851.3,-643036,6.39,K
,073142.8,-355316,6.61,A
66Alp,073436.0,+315319,2.88,A
66Alp,073436.0,+315318,1.98,A
,073030.9,-542358,5.96,M
,073405.1,+103406,6.28,A
,073647.0,+554519,5.92,K
,073222.3,-355741,6.3,B
,073508.7,+305740,5.33,K
,073322.1,-142018,6.21,B
,073556.0,+430152,6.30,F
,073319.5,-192445,5.66,K
,073309.7,-244239,5.85,A
9Del,073415.8,+032217,5.81,A
,073347.9,-143126,4.97,M
,073631.6,+461049,5.65,M
,073446.0,+024330,6.55,A
69Ups,073555.3,+265345,4.06,M
,073403.2,-221746,4.45,F
,073313.5,-400332,6.26,B
,073313.3,-430511,6.52,G
,073418.6,-232825,5.83,F
,073419.1,-232829,5.87,F
,073351.0,-362018,5.54,B
,073428.8,-260700,6.65,A
,073412.8,-332748,6.11,A
,073753.9,+484625,5.92,A
,073717.8,+400131,6.38,M
,073434.9,-270043,5.77,K
,073358.5,-395421,6.76,K
,073634.7,+055142,5.91,G
Eps,072538.0,-790539,5.53,K
,073616.6,-081841,6.27,K
,073603.9,-142934,5.70,B
,073522.8,-282210,4.64,B
,073607.8,-220938,6.34,G
70,073832.8,+350255,5.56,K
,073439.5,-512829,6.28,A
,073814.5,+242137,6.27,F
25,073716.7,-040640,5.13,F
,073641.0,-194208,5.74,B
23,074049.5,+570458,6.06,K
71Omi,073909.9,+343503,4.90,F
,073911.9,+241321,6.17,A
,073738.9,-142628,6.53,B
,073716.8,-234630,6.37,F
,073539.7,-523202,4.94,K
,074014.6,+382040,5.73,M
,073954.1,+320035,6.17,F
,073722.1,-345807,4.53,B
74,073928.6,+174029,5.05,K
,074112.4,+480754,5.56,K
,073643.9,-484949,5.72,B
,073601.7,-555315,6.39,K
,073744.8,-351638,6.60,K
10Alp,073918.1,+051330,0.38,F
,073818.0,-252153,4.70,B
,073745.2,-380038,6.38,K
24,074300.4,+584237,4.99,A
,073907.1,-184045,6.72,B
,073849.3,-264806,4.50,B
,073849.8,-264813,4.62,B
,074007.0,+051351,6.02,A
,074058.5,+230107,5.89,K
,073824.2,-395929,6.59,A
,074047.3,+134615,6.24,K
,073843.9,-362949,5.80,B
,073832.6,-384652,6.19,G
,073926.9,-265147,6.50,B
,073818.2,-483604,5.68,F
,074035.5,-081109,6.01,A
,074023.2,-151549,4.94,K
,074013.6,-193939,5.93,K
,073927.4,-381830,4.84,B
,074243.5,+340001,6.02,F
,073943.8,-380822,5.73,B
,073947.8,-381539,5.76,B
,074151.8,+132850,5.77,M
,074135.2,+033729,5.94,A
,074203.2,+141230,5.56,M
,073958.0,-373446,6.00,B
,074404.2,+502602,5.27,A
26Alp,074114.8,-093304,3.93,K
,073900.4,-531624,6.06,B
,074043.4,-275645,6.76,B
75Sig,074318.7,+285301,4.28,K
,074052.7,-313939,6.56,G
51,074640.1,+652721,5.92,K
,074123.6,-222014,6.18,M
49,074627.4,+624950,6.49,F
,074322.2,+222358,6.21,K
,073521.7,-741632,7.16,B
,073521.8,-741632,7.26,B
,074115.8,-383201,5.42,B
,074305.4,+001122,6.19,K
76,074406.9,+254703,5.31,K
,074121.8,-443756,6.41,B
77Kap,074426.8,+242353,3.57,G
,074158.0,-383144,6.54,B
,074414.0,+125134,6.43,K
,074248.1,-262104,5.64,K
,074407.4,+022418,6.47,F
78Bet,074518.9,+280134,1.14,K
79,074509.3,+201859,6.33,A
,074339.1,-253014,6.55,A
1,074332.4,-282440,4.59,K
,074312.0,-360301,5.60,B
,074307.0,-385151,6.89,G
3,074348.5,-285717,3.96,A
,075617.3,+801556,6.56,G
,074257.2,-451024,5.06,G
,074639.3,+373103,5.18,M
,073604.2,-773803,6.18,M
,074342.9,-381207,6.40,B
,074341.9,-405602,5.17,K
81,074607.4,+183036,4.88,K
,074434.0,-244026,5.62,B
,074306.9,-495934,6.57,A
,074210.2,-583751,6.43,B
,074409.6,-360346,5.80,F
11,074616.2,+104606,5.30,A
2,074528.7,-144110,6.89,A
2,074529.1,-144127,6.07,A
,074434.2,-375635,5.88,B
,074253.3,-581348,6.21,K
80Pi,074730.3,+332456,5.14,M
,074602.2,-064621,5.49,K
4,074556.9,-143350,5.04,F
,074504.6,-375316,6.54,B
,074515.3,-375807,3.61,K
,074535.0,-341023,5.37,G
,074644.9,-124031,6.39,A
,074518.1,-434508,6.03,B
82,074833.6,+230828,6.18,G
,074610.4,-375602,5.88,B
,074712.5,-223111,5.90,B
Zet,074149.2,-723622,3.95,K
,074633.4,-400335,6.57,B
,074738.5,-155927,6.34,K
,074745.2,-160052,6.43,M
,075105.7,+540745,6.02,F
5,074756.7,-121135,5.48,F
,074902.0,+132215,6.04,K
,074535.6,-564321,6.12,F
,074705.8,-391953,6.31,B
,074858.9,+041958,6.53,G
Omi,074805.2,-255614,4.50,B
,074725.0,-383040,5.08,B
,074443.9,-660419,6.38,G
,074731.5,-463631,5.23,B
,074413.0,-694917,6.18,A
,075236.6,+551234,6.38,A
,075102.3,+331401,6.03,A
,074808.5,-403908,6.14,M
,074928.6,-132112,6.23,B
,074901.7,-245444,5.33,G
6,074941.2,-171342,5.18,K
7Xi,074917.7,-245135,3.34,G
,074820.3,-470440,4.71,K
,075010.6,-091100,5.61,K
,074945.2,-201225,6.56,G
,074914.7,-351436,5.93,B
,075047.4,+031638,6.18,K
,075005.7,-193125,6.12,K
,074935.4,-331720,5.60,K
,075156.7,+191931,5.99,K
,075055.2,-110743,6.16,K
,074914.3,-462224,4.11,B
,074819.2,-562816,6.33,K
,074928.2,-444507,6.32,K
,074912.9,-465128,5.84,B
13Zet,075142.0,+014601,5.14,B
,075100.0,-243142,6.45,A
,075207.2,+031638,6.31,M
,074906.7,-562438,5.59,G
8,075140.9,-124910,6.36,F
9,075146.3,-135353,5.17,G
25,075429.3,+472310,6.25,K
26,075442.7,+473353,5.45,K
83Phi,075329.8,+264557,4.97,A
,075142.9,-211026,5.63,G
,075042.4,-443447,6.45,G
,074912.9,-601701,5.78,F
,075023.9,-503035,5.91,K
,075247.9,-052541,5.76,F
10,075218.9,-145047,5.69,F
,075120.5,-430544,6.32,B
,080011.7,+735505,5.41,K
,074954.8,-600304,6.72,K
,075626.8,+563016,6.72,A
,075140.3,-425318,6.04,B
,075215.7,-344219,5.01,F
,075213.0,-403433,3.73,K
,074941.0,-661145,5.79,B
,080447.1,+792847,5.42,A
,075540.8,+352446,6.23,A
,075238.7,-385147,4.49,B
,075303.5,-362150,5.43,K
85,075539.9,+195302,5.35,A
,075531.4,+085146,5.86,F
,075229.7,-542202,5.70,B
,075303.7,-493647,4.63,B
,075318.2,-480611,4.24,B
,075411.0,-355239,5.49,B
,075439.9,-345049,6.15,K
,075623.9,+042909,6.17,G
,075816.6,+435839,6.34,K
1,075659.4,+154725,5.78,K
,075513.7,-305503,6.44,K
,075715.9,+083829,6.05,K
,075716.2,+010737,6.35,F
,075622.8,-301707,6.33,M
,075500.5,-523459,6.38,B
,075546.5,-435042,6.02,B
11,075651.5,-225248,4.20,F
,075805.8,+071249,6.41,A
,075831.5,+163107,5.99,K
,075453.2,-571811,5.63,K
,080120.7,+590251,5.77,F
,075624.3,-404411,6.78,B
,081653.8,+840328,6.49,A
53,080142.4,+601928,6.01,A
14,075820.6,+021329,5.29,K
,075657.9,-422422,6.09,K
,080230.8,+630525,6.40,G
,075740.1,-302005,4.79,A
,075657.9,-433001,5.35,B
,075935.1,+131432,6.02,K
,075718.4,-440635,5.09,B
Chi,075646.7,-525856,3.47,B
,075720.0,-475325,6.22,B
,080235.8,+571625,6.49,F
,075618.6,-603135,5.74,K
