Name,RA_2000,Dec_2000,Vmag,Spct
,004350.2,-120042,6.02,K
Eta,004321.2,-572747,4.36,A
21,004539.0,+745917,5.66,A
22Omi,004443.5,+481704,4.54,B
17Phi,004411.4,-103634,4.76,K
Lam,004412.1,-382518,5.90,K
,004517.2,+551318,5.42,A
,004444.4,-220022,5.24,F
,004457.1,-424036,5.94,F
,004432.3,-622952,6.07,F
,004639.0,+691930,6.33,F
,004524.1,-043745,6.15,M
,004500.0,-534254,6.15,F
18,004528.7,-125251,6.15,G
,004615.1,+551819,6.52,A
,004610.9,+445141,6.05,B
,004541.7,-162527,6.47,F
,004642.4,+593428,6.39,G
23,004746.1,+745051,5.41,B
,004545.6,-473306,5.80,G
,004611.8,-223119,5.50,G
57,004633.0,+152832,5.38,M
,004809.1,+724030,5.87,K
58,004701.5,+115826,5.50,G
59,004713.6,+193444,6.13,F
34Zet,004720.3,+241602,4.06,K
60,004723.6,+064427,5.99,G
61,004754.8,+205531,6.54,F
,004743.3,-180341,5.70,K
24Eta,004906.0,+574857,3.44,F
,004801.1,-214321,5.57,B
62,004817.4,+071800,5.93,G
,004823.0,+051650,5.75,K
25Nu,004850.1,+505806,4.89,B
63Del,004841.0,+073506,4.43,K
64,004858.7,+165626,5.07,F
35Nu,004948.8,+410444,4.53,B
,004925.6,-133341,5.59,K
,004913.9,-240811,5.90,K
,004856.7,-464152,6.27,G
65,004952.8,+274239,7.0,F
65,004953.2,+274237,7.1,F
,004933.4,-232142,6.28,A
,005043.6,+641451,5.39,G
,005018.3,+450008,6.15,A
19Phi,005007.6,-103840,5.19,F
Lam,004835.4,-745524,5.07,K
,005116.4,+614821,6.07,K
,005057.4,+513029,6.39,F
,005003.7,-432341,6.48,A
,005453.1,+834226,5.62,A
,005133.7,+513416,6.21,B
Rho,005041.2,-505913,5.22,F
,005118.3,+032306,6.37,K
,005304.1,+610727,4.82,F
,005152.1,-434233,6.90,F
,005253.4,+383255,6.69,A
,005240.6,-240021,5.46,K
20,005300.5,-010839,4.77,M
,005328.2,+372505,6.06,K
,005347.6,+524121,6.27,A
,005312.4,-244637,6.46,F
Lam,005224.3,-693016,6.22,F
26Ups,005500.1,+585822,4.83,K
66,005435.2,+191118,5.74,A
21,005417.6,-084427,6.16,G
,005505.2,+484043,6.27,M
,005337.9,-625217,5.70,M
36,005458.0,+233742,5.47,K
,005514.7,+243325,6.20,M
,005612.9,+575948,6.21,K
,005655.6,+684634,6.37,F
67,005558.5,+271234,6.09,A
,005542.4,-072050,5.85,K
27Gam,005642.5,+604300,2.47,B
28Ups,005639.8,+591052,4.63,G
,005647.1,+602146,5.55,B
22Phi,005601.5,-111600,5.31,K
,005555.5,-274632,6.10,M
37Mu,005645.2,+382958,3.87,A
Lam,005500.3,-693137,5.45,K
38Eta,005712.4,+232503,4.42,G
,005739.7,+455023,6.12,K
,005831.1,+662108,5.97,A
68,005750.2,+285932,5.42,G
,005814.2,+335703,5.98,K
,005754.5,+134145,6.32,G
,005818.9,+212416,6.37,A
,010031.0,+705859,6.39,A
23Phi,005843.9,-112248,5.61,G
Alp,005836.4,-292127,4.31,B
,005822.4,-604147,6.23,A
,010003.4,+444240,6.84,A
,010003.6,+444248,6.04,B
,005949.7,+062859,6.11,M
,010844.7,+861525,4.25,K
,013350.4,+890056,6.46,A
,010218.4,+510206,6.47,A
Xi,010118.3,-385500,5.59,K
,010301.5,+472234,6.45,A
39,010254.3,+412042,5.98,A
69Sig,010249.1,+314816,5.50,B
,010337.0,+610430,5.92,F
Sig,010226.4,-313307,5.50,A
71Eps,010256.6,+075324,4.28,K
Ome,010201.8,-570009,6.11,G
25,010302.6,-045012,5.43,K
,010419.6,+613449,5.84,F
,010402.4,+523008,5.99,K
,010249.2,-462351,5.36,G
,010317.6,-293133,6.29,G
26,010349.0,+012200,6.04,F
,010446.8,+510036,6.54,B
,010427.6,+293931,6.19,F
,010242.9,-652722,6.21,M
,010436.4,+395928,6.72,F
,011613.5,+870843,6.25,K
73,010452.6,+053923,6.00,K
72,010505.4,+145646,5.68,F
,010622.8,+624542,6.54,A
74Psi,010540.9,+212824,5.34,A
74Psi,010541.7,+212755,5.56,A
,010912.3,+800042,6.29,G
77,010549.2,+045430,6.35,F
77,010551.4,+045434,7.25,F
27,010536.8,-095845,6.12,K
,010700.2,+565606,6.43,K
28,010605.1,-095022,5.58,A
,010709.5,+532954,6.38,K
75,010633.6,+125722,6.12,G
,010607.7,-235933,6.14,G
30Mu,010816.4,+545513,5.17,G
Bet,010605.0,-464307,3.31,G
,010626.5,-353939,6.61,A
41,010800.9,+435631,5.03,A
,010713.1,-235947,6.37,A
,010833.3,+581549,5.79,B
78,010801.3,+320044,6.25,F
79Psi,010757.2,+204421,5.55,A
30,010746.2,-094708,5.82,F
80,010822.2,+053859,5.52,F
Ups,010747.9,-412913,5.21,A
Iot,010718.7,-614631,5.37,G
,011216.7,+794026,5.64,A
31Eta,010835.4,-101056,3.45,K
42Phi,010930.2,+471431,4.25,B
31,011039.3,+684643,5.29,A
43Bet,010943.9,+353714,2.06,M
Zet,010823.1,-551445,3.92,B
81Psi,010949.2,+193931,5.55,G
44,011018.8,+420453,5.65,F
,011019.4,+252728,5.80,K
,011125.6,+641210,5.55,B
33The,011106.2,+550859,4.33,A
,011011.5,+154027,6.06,M
32,011141.4,+650108,5.57,B
32,011012.0,-085422,6.40,K
33,011033.6,+022644,5.95,K
45,011110.3,+374327,5.81,B
82,011106.8,+312529,5.16,F
,011007.4,-574140,6.41,G
84Chi,011127.2,+210205,4.66,G
83Tau,011139.6,+300523,4.51,K
34,011143.5,-021504,5.94,K
,011309.9,+614221,6.41,B
,011234.0,+452016,6.11,M
,011259.5,+300351,6.19,G
,011630.7,+795436,6.26,F
,011223.4,-304808,6.52,F
,011245.4,-375123,5.92,F
85Phi,011344.9,+243501,4.65,K
86Zet,011343.9,+073431,5.24,A
86Zet,011345.3,+073442,6.30,F
,011405.0,+283147,6.43,S
87,011407.6,+160801,5.98,B
,011612.1,+714438,7.83,K
37,011424.0,-075523,5.13,F
88,011442.4,+065943,6.03,G
38,011449.2,-005826,5.70,F
,011624.5,+480456,6.61,B
Nu,011511.1,-453153,4.96,F
,011618.8,+330653,6.02,K
,011705.1,+445407,6.34,K
39,011636.3,-023001,5.41,G
,011724.1,+314441,6.73,K
,012019.5,+773414,6.31,G
,011810.2,+472511,6.25,K
Kap,011546.1,-685234,4.86,F
89,011748.0,+033652,5.16,A
,011847.0,+372310,6.46,A
,011703.6,-662353,6.24,A
,012159.1,+761420,6.38,F
34Phi,012004.9,+581354,4.98,F
90Ups,011928.0,+271551,4.76,A
35,012105.2,+643930,6.34,A
42,011948.3,-003032,5.87,G
,012346.8,+784333,6.07,A
,012034.5,-031449,6.23,K
,012027.8,-111420,6.15,K
91,012107.4,+284417,5.23,K
46Xi,012220.4,+453144,4.88,K
,012321.6,+580835,6.45,F
,012237.0,+014335,6.20,K
43,012234.8,-002659,6.49,K
,012230.5,-190453,6.35,F
47,012340.6,+374254,5.58,A
,012337.5,+341445,6.29,G
,012324.9,+202808,5.97,K
,012546.5,+705848,6.49,A
36Psi,012556.0,+680748,4.74,K
,012331.0,-305644,5.84,K
44,012402.5,-080027,6.21,F
45The,012401.4,-081100,3.60,K
37Del,012549.0,+601407,2.68,A
,012420.6,-065453,5.91,F
,012439.8,-153937,6.14,G
,012448.7,-025055,6.15,G
,012535.7,+233042,6.18,F
,012440.8,-412933,5.42,K
,012618.6,+432728,5.96,F
,012608.7,+343447,6.31,F
,012441.9,-443142,6.26,K
46,012537.2,-143556,4.90,K
93Rho,012615.3,+191020,5.38,F
94,012641.7,+191425,5.50,K
,012706.2,+342239,6.27,F
,012627.3,-002355,6.41,K
48Ome,012739.4,+452424,4.83,F
,012726.6,+410602,6.46,A
,012653.5,+033207,6.58,B
,012505.3,-642210,5.93,K
47,012651.6,-130324,5.66,F
,012747.0,+402008,6.60,A
,012658.1,-323235,5.79,C
1Alp,023148.7,+891551,2.02,F
,012746.6,-105406,6.13,K
,012822.9,+075741,6.20,K
38,013113.8,+701553,5.81,F
,013052.3,+660553,6.14,A
Gam,012821.9,-431906,3.41,M
49,013006.2,+470026,5.27,K
,012843.3,-334549,6.58,F
97,012952.9,+182120,6.02,A
48,012936.1,-213746,5.12,A
98Mu,013011.1,+060838,4.84,K
,012930.4,-464523,6.31,M
,013022.9,-261228,5.93,K
99Eta,013129.0,+152045,3.62,G
,013207.6,+344800,6.39,B
,013325.8,+581939,5.70,K
Del,013115.1,-490422,3.95,K
,013143.3,-301700,5.82,K
39Chi,013355.9,+591355,4.71,G
,013139.1,-453432,6.17,A
,013303.5,-090053,6.59,A
,013256.0,-365155,5.51,K
,013416.6,+371414,5.88,B
,013236.3,-494340,6.28,F
,013342.9,-070131,5.76,G
,013722.5,+741803,6.58,B
,013449.1,+182738,5.89,M
49,013437.8,-154034,5.63,A
,013552.5,+410435,6.38,K
,013450.7,-315332,6.12,K
,013627.2,+484322,5.92,K
101,013546.4,+143941,6.22,B
40,013830.9,+730224,5.28,G
,013554.8,+172601,5.80,F
50Ups,013647.8,+412420,4.09,F
50,013559.0,-152401,5.42,K
